province,year,transport_value_added_100m_cny,total_generation_100m_kwh,hydro_generation_100m_kwh,thermal_generation_100m_kwh,clean_generation_100m_kwh,hydro_share,clean_power_ratio,nev_stock_10k,gasoline_consumption_10k_ton,diesel_consumption_10k_ton,fuel_total_10k_ton,diesel_share_in_fuel,fuel_intensity_per_100m_cny,public_charging_piles,national_bev_buses
山西省,2021,1284.2,3926.16,38.54,3229.0,697.1599999999999,0.0098162071846282,0.1775679034985838,,131.08,243.35,374.43,0.6499212135779718,0.2915667341535586,,419500.0
山西省,2022,1297.6,4298.79,36.39,3576.88,721.9099999999999,0.0084651727579156,0.167933302161771,26.63929689254961,130.14,240.81,370.95,0.6491710473109584,0.2858739210850801,33593.0,455500.0
山西省,2023,1470.4,4572.79,38.15,3717.33,855.46,0.0083428279015655,0.1870761613806888,39.94179929059379,,,,,,39700.0,473900.0
广东省,2012,2115.8,3593.2,203.4,2860.68,732.52,0.0566069241901369,0.2038628520538795,,598.24,905.56,1503.8,0.6021811411091901,0.7107477077228471,,
广东省,2013,2253.4,3874.97,388.81,2973.41,901.56,0.1003388413329651,0.23266244641894,,330.5,984.34,1314.84,0.7486386176264792,0.5834916126741813,,
广东省,2014,2507.8,3948.39,381.98,2961.43,986.96,0.0967432295188671,0.2499651756792009,,363.55,1016.53,1380.08,0.736573242130891,0.5503150171465029,,
广东省,2015,2680.5,4035.0,436.76,2903.54,1131.46,0.1082428748451053,0.2804114002478315,,502.74,1043.47,1546.21,0.6748565848106014,0.5768364111173289,,
广东省,2016,2896.1,4263.66,536.6,2971.7,1291.96,0.1258543129611648,0.3030166570505153,,497.42,1110.02,1607.44,0.690551435823421,0.5550360830081834,,
广东省,2017,3187.7,4503.36,307.65,3329.31,1174.0499999999995,0.0683156576422937,0.2607053400127904,,512.73,1110.91,1623.64,0.6842095538419847,0.5093452959814286,29262.0,
广东省,2018,3386.3,4694.76,258.31,3467.52,1227.2400000000002,0.055020916937181,0.261406333870102,,523.27,1129.91,1653.18,0.6834766934030172,0.4881965567138174,34628.0,
广东省,2019,3614.2,5051.02,391.01,3433.89,1617.1300000000006,0.0774120870636029,0.3201590965785129,,491.71,1195.6,1687.31,0.7085834849553431,0.4668557357091472,63000.0,324464.0
广东省,2020,3361.4,5225.91,285.42,3603.12,1622.79,0.0546163251950378,0.3105277358393083,,440.08,1056.91,1496.99,0.7060234203301292,0.4453471767715832,139127.0,
广东省,2021,4079.0,6306.23,224.41,4638.57,1667.66,0.0355854448695972,0.2644464283732118,,346.48,871.37,1217.85,0.7154986246253644,0.2985658249570973,151000.0,419500.0
广东省,2022,4410.5,6365.7,344.41,4469.17,1896.53,0.0541040262657681,0.2979295285671646,199.3507384125796,268.42,615.68,884.0999999999999,0.696391810881122,0.2004534633261534,383000.0,455500.0
